QA,Tactic,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,w_p,logRR_norm,phi_norm,Score_default,Score_minus_conf
Robustness,Adversarial training,26,2,45,147,220,71,28,0.9488230601158166,1.37672491010374,0.49486837016850166,9.421497844228714e-13,1.0,0.5969289827255279,0.49486837016850166,0.5179612526996306,0.5458986764470147
Functional adaptability,Meta-learning,9,1,14,196,220,23,10,0.6361632711932032,2.6026896854443837,0.5673242794719989,2.7260939378147483e-09,1.0,0.8620689655172413,0.5673242794719989,0.45466374127691134,0.7146966224946201
Performance Efficiency,Integer-only operations,6,6,11,197,220,17,12,0.6141051890468284,2.2464956263430023,0.3802501766224891,5.9232417438401586e-05,1.0,0.808695652173913,0.3802501766224891,0.3650689014797263,0.594472914398201
Interoperability,External computational offloading,5,7,3,205,220,8,12,0.47962067632936145,3.3634570536793085,0.48797604001273653,9.951849848679302e-06,1.0,0.9330855018587361,0.48797604001273653,0.3407852489090204,0.7105307709357362
Capacity,Task-level parallelism on CNN layer-level,5,4,19,192,220,24,9,0.624612291252019,1.819632489407507,0.2957713653275589,0.0009605480029053833,1.0,0.7210440456769984,0.2957713653275589,0.31755770182396,0.5084077055022787
Ressource utilization,Quantization,37,5,84,94,220,121,42,0.9913702796501498,0.6242150458096277,0.3231413628358285,7.003592448827673e-07,1.0,0.3023531738184695,0.3231413628358285,0.3100483468613061,0.312747268327149
Resiliency,Finetuning ,4,8,6,202,220,10,12,0.5182339919776623,2.447166321805153,0.3319568649619408,0.0009127815442267712,1.0,0.8407079646017699,0.3319568649619408,0.3038573879383034,0.5863324147818554
Interoperability,Concurrent processing hardware,4,5,4,207,220,8,9,0.4320292879878078,3.154633556139847,0.4502315805885341,8.615368142561621e-05,1.0,0.9181818181818182,0.4502315805885341,0.2955973331718657,0.6842066993851761
Functional adaptability,Deployment pipeline creation,4,1,19,196,220,23,5,0.5107689239601585,2.203055497647013,0.3466252309418533,0.00043340782272216136,1.0,0.8010471204188482,0.3466252309418533,0.2930976859816652,0.5738361756803507
Capacity,Modular system design,4,1,20,195,220,24,5,0.5182339919776623,2.1517622032594623,0.33796809488368906,0.0005180173179946153,1.0,0.7916666666666667,0.33796809488368906,0.2927075659774878,0.564817380775178
Fault tolerance,Failure prevention or mitigation,4,2,9,205,220,13,6,0.44499827534563574,2.763286329577468,0.43145450453665257,0.00010552199083182523,1.0,0.8813186813186813,0.43145450453665257,0.2920909018128096,0.6563865929276669
Robustness,Heuristics-driven augmentation,6,0,65,149,220,71,6,0.7474092012852709,1.1915887451262144,0.24256754811972706,0.0009742219183466638,1.0,0.5340501792114695,0.24256754811972706,0.29022561764429594,0.38830886366559825
Confidentiality,Edge compute hardware,4,1,10,205,220,14,5,0.4275176370043109,2.8449093838194077,0.4600268269160367,5.0750682168747814e-05,1.0,0.8901098901098902,0.4600268269160367,0.2886036294478411,0.6750683585129634
Ressource utilization,Pruning,22,1,99,98,220,121,23,0.9703099443872979,0.6436321160325649,0.2792074345102826,1.0437300221540021e-05,1.0,0.3111480865224626,0.2792074345102826,0.28641391639100866,0.2951777605163726
Fault tolerance,Fault tolerant training,4,0,9,207,220,13,4,0.38167444367629266,3.1780538303479458,0.5430209893473685,7.528947354704345e-06,1.0,0.92,0.5430209893473685,0.2791988610979481,0.7315104946736843
Modifiability,Containerization,4,1,2,213,220,6,5,0.30590634059779964,4.454347296253507,0.7234894152645601,7.838997245768316e-07,1.0,0.9770114942528736,0.7234894152645601,0.2600970052068541,0.8502504547587169
Modifiability,Modular system design,4,1,2,213,220,6,5,0.30590634059779964,4.454347296253507,0.7234894152645601,7.838997245768316e-07,1.0,0.9770114942528736,0.7234894152645601,0.2600970052068541,0.8502504547587169
Modifiability,Concurrent processing hardware,3,6,3,208,220,6,9,0.3873110832176079,3.154633556139847,0.3880856906851664,0.0009010987194454765,1.0,0.9181818181818182,0.3880856906851664,0.252965941915619,0.6531337544334923
Modularity,Deployment pipeline creation,4,1,1,214,220,5,5,0.28346868942621073,5.147494476813453,0.7953488372093023,2.6227490784971104e-07,1.0,0.9884393063583815,0.7953488372093023,0.25282404363557237,0.891894071783842
Modularity,Modular system design,4,1,1,214,220,5,5,0.28346868942621073,5.147494476813453,0.7953488372093023,2.6227490784971104e-07,1.0,0.9884393063583815,0.7953488372093023,0.25282404363557237,0.891894071783842
Functional adaptability,Transfer learning,4,3,19,194,220,23,7,0.5708312880278239,1.8572373986075619,0.2766260258978121,0.0026215222812048253,0.8604821489062773,0.7299492385786802,0.2766260258978121,0.24720991921018534,0.4330700233063182
