QA,Tactic,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,w_p,logRR_norm,phi_norm,Score_default,Score_minus_conf
Robustness,Adversarial training,26,2,43,146,217,69,28,0.9466190566837405,1.406438927212358,0.5046712780573087,5.577303216472297e-13,1.0,0.6064073226544622,0.5046712780573087,0.5258840884536335,0.5555393003558855
Functional adaptability,Meta-learning,9,1,12,195,217,21,10,0.6194325242901088,2.7424516278195425,0.59713775543404,1.1212986632139324e-09,1.0,0.8789712556732224,0.59713775543404,0.45717496543877384,0.7380545055536312
Performance Efficiency,Integer-only operations,5,6,10,196,217,15,11,0.5752900605933942,2.236833715431265,0.35110463307775786,0.00028443050255055576,1.0,0.8070175438596491,0.35110463307775786,0.3331280886724372,0.5790610884687035
Capacity,Task-level parallelism on CNN layer-level,5,4,17,191,217,22,9,0.6086226723407995,1.9165380707429829,0.31299835245739804,0.0006567764148781417,1.0,0.7435037720033529,0.31299835245739804,0.3215055731615171,0.5282510622303755
Ressource utilization,Quantization,35,5,83,94,217,118,40,0.9897466460260561,0.6237777321527085,0.3161277492181326,2.314447187287029e-06,1.0,0.30215449290593793,0.3161277492181326,0.3059713877198844,0.3091411210620353
Interoperability,External computational offloading,4,7,2,204,217,6,11,0.4181848889381188,3.623128076551156,0.4735082636303228,5.2224757006037235e-05,1.0,0.9479905437352246,0.4735082636303228,0.29722466044191487,0.7107494036827737
Ressource utilization,Pruning,22,1,96,98,217,118,23,0.9689783833857701,0.6590582050246581,0.28532763485436213,8.721486723318913e-06,1.0,0.31809759110562075,0.28532763485436213,0.2923529999724486,0.3017126129799914
Confidentiality,Edge compute hardware,4,0,10,203,217,14,4,0.3927942914850693,3.0587070727153796,0.5218241748746105,1.1139856615244153e-05,1.0,0.9103139013452916,0.5218241748746105,0.2812678304787933,0.716069038109951
Fault tolerance,Fault tolerant training,4,0,7,206,217,11,4,0.3573895939171715,3.4153820166541116,0.5930310892462834,3.672480202827742e-06,1.0,0.9363636363636364,0.5930310892462834,0.2732948799623966,0.7646973628049599
Robustness,Heuristics-driven augmentation,5,0,64,148,217,69,5,0.7101171417669998,1.1977031913123406,0.22491757065728463,0.00293592378017657,0.844085074457984,0.536231884057971,0.22491757065728463,0.2281162177479053,0.32123744707849017
