Tactic_A,Tactic_B,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,logRR_norm,phi_norm,Score_default,Score_minus_conf
Depth adjustment,Width adjustment,12,4,1,203,220,13,16,0.6176735063969778,5.030437921392435,0.8206002532820508,1.1752238048443417e-15,0.987012987012987,0.8206002532820508,0.5582574041713194,0.9038066201475189
Width adjustment,Depth adjustment,12,1,4,203,220,16,13,0.6176735063969778,3.866381724471942,0.8206002532820508,1.1752238048443417e-15,0.9589905362776026,0.8206002532820508,0.5496030414695388,0.8897953947798267
Integer-only operations,Quantization,10,32,2,176,220,12,42,0.7761240006440187,3.053551844442817,0.39261682894737643,1.2112612638288132e-06,0.9098712446351932,0.39261682894737643,0.5054461272300125,0.6512440367912848
Quantization,Integer-only operations,10,2,32,176,220,42,12,0.7761240006440187,1.6894806201076369,0.39261682894737643,1.2112612638288132e-06,0.6883116883116883,0.39261682894737643,0.41946728261265626,0.5404642586295324
Mixed-precision compression,Quantization,5,37,1,177,220,6,42,0.652954895879392,3.053551844442817,0.2737024557335575,0.00106568385406035,0.9098712446351932,0.2737024557335575,0.382851491827101,0.5863368116896973
Network partitioning,External computational offloading,6,6,3,205,220,9,12,0.49983654452193094,3.545778610473263,0.5566956746087431,4.90682058676887e-07,0.9439252336448598,0.5566956746087431,0.37503258470942125,0.7503104541268015
External computational offloading,Network partitioning,6,3,6,205,220,12,9,0.49983654452193094,3.154633556139847,0.5566956746087431,4.90682058676887e-07,0.9181818181818182,0.5566956746087431,0.36859883479480166,0.7374387463952807
Hardware and Software codesign,Quantization,6,36,3,175,220,9,42,0.7264164282148935,2.137261112568662,0.2500079241261769,0.001878371164982082,0.7889447236180904,0.2500079241261769,0.3429184370818009,0.4720686699287539
Quantization,Mixed-precision compression,5,1,37,177,220,42,6,0.652954895879392,1.5727365455836724,0.2737024557335575,0.00106568385406035,0.6563467492260062,0.2737024557335575,0.3008437290220641,0.46074197608533324
Network partitioning,Task-level parallelism on CNN layer-level,4,5,5,206,220,9,9,0.4511883639059735,2.9314900048256374,0.4207477619799895,0.00015216935494571557,0.8987626546681665,0.4207477619799895,0.29767387302218545,0.659755208324078
Task-level parallelism on CNN layer-level,Network partitioning,4,5,5,206,220,9,9,0.4511883639059735,2.9314900048256374,0.4207477619799895,0.00015216935494571557,0.8987626546681665,0.4207477619799895,0.29767387302218545,0.659755208324078
Pruning,ADMM-based compression,4,0,19,197,220,23,4,0.4724144270085936,2.4308394285177246,0.3982651590034037,9.324311723903075e-05,0.8382978723404255,0.3982651590034037,0.29208510795615233,0.6182815156719146
Quantization,Hardware and Software codesign,6,3,36,175,220,42,9,0.7264164282148935,1.362874086911792,0.2500079241261769,0.001878371164982082,0.5924528301886791,0.2500079241261769,0.27806399627513684,0.3827886945762714
Quantization,Quantization-aware training,4,0,38,178,220,42,4,0.5785688077344482,1.7376922479577792,0.28014861261464746,0.0011786224858909896,0.7007874015748031,0.28014861261464746,0.2770181672403741,0.47879900115099194
Meta-learning,Few-shot learning,4,0,6,210,220,10,4,0.3440278999511197,3.58351893845611,0.6236095644623236,2.211299223060018e-06,0.9459459459459459,0.6236095644623236,0.2699854430512324,0.7847777552041348
Multitask Scheduling,External computational offloading,3,9,1,207,220,4,12,0.36990218853360224,3.9512437185814275,0.41674678716864105,0.00048706497886971955,0.9622641509433962,0.41674678716864105,0.25504958200970923,0.6895054690560186
Early-exit inference,External computational offloading,3,9,1,207,220,4,12,0.36990218853360224,3.9512437185814275,0.41674678716864105,0.00048706497886971955,0.9622641509433962,0.41674678716864105,0.25504958200970923,0.6895054690560186
Feature encoding,Finetuning ,3,9,2,206,220,5,12,0.4033339960380281,3.258096538021482,0.3662897178791283,0.0011797281355025195,0.9259259259259259,0.3662897178791283,0.25436185788522075,0.630648198227353
Feature encoding,External computational offloading,3,9,2,206,220,5,12,0.4033339960380281,3.258096538021482,0.3662897178791283,0.0011797281355025195,0.9259259259259259,0.3662897178791283,0.25436185788522075,0.630648198227353
Containerization,Concurrent processing hardware,3,6,2,209,220,5,9,0.3605926808381029,3.5600986642480112,0.43043581604429176,0.00046013451333173867,0.9447004608294931,0.43043581604429176,0.24793203829782293,0.6875681384368925
External computational offloading,Feature encoding,3,2,9,206,220,12,5,0.4033339960380281,2.662587827025453,0.3662897178791283,0.0011797281355025195,0.8695652173913043,0.3662897178791283,0.24326772309175854,0.6031421240991106
Finetuning ,Feature encoding,3,2,9,206,220,12,5,0.4033339960380281,2.662587827025453,0.3662897178791283,0.0011797281355025195,0.8695652173913043,0.3662897178791283,0.24326772309175854,0.6031421240991106
TPU SoC or Accelerator Hardware ,Sensor or input data fusion,3,4,3,210,220,6,7,0.35082268041346987,3.4153820166541116,0.44664979757141304,0.0003834756641030346,0.9363636363636364,0.44664979757141304,0.2425962399704657,0.6915067169675247
External computational offloading,Multitask Scheduling,3,1,9,207,220,12,4,0.36990218853360224,2.8903717578961645,0.41674678716864105,0.00048706497886971955,0.8947368421052632,0.41674678716864105,0.2425603323472043,0.6557418146369521
External computational offloading,Early-exit inference,3,1,9,207,220,12,4,0.36990218853360224,2.8903717578961645,0.41674678716864105,0.00048706497886971955,0.8947368421052632,0.41674678716864105,0.2425603323472043,0.6557418146369521
Concurrent processing hardware,Containerization,3,2,6,209,220,9,5,0.3605926808381029,3.068052935133617,0.43043581604429176,0.00046013451333173867,0.9111111111111111,0.43043581604429176,0.24187600146654292,0.6707734635777014
Sensor or input data fusion,TPU SoC or Accelerator Hardware ,3,3,4,210,220,7,6,0.35082268041346987,3.286534473342016,0.44664979757141304,0.0003834756641030346,0.927927927927928,0.44664979757141304,0.2411165210481648,0.6872888627496705
Early-exit inference,Network partitioning,3,6,1,210,220,4,9,0.3296799539643607,4.253245844807957,0.48715283701009704,0.00018796043396010156,0.9719626168224299,0.48715283701009704,0.24052055782409734,0.7295577269162634
Edge compute hardware,Sensor or input data fusion,3,4,2,211,220,5,7,0.32591921680074,3.820847124762276,0.493670258329646,0.00019444076918323578,0.9571209800918836,0.493670258329646,0.23642037208386027,0.7253956192107648
Deployment pipeline creation,Transfer learning,3,4,2,211,220,5,7,0.32591921680074,3.820847124762276,0.493670258329646,0.00019444076918323578,0.9571209800918836,0.493670258329646,0.23642037208386027,0.7253956192107648
Transfer learning,Deployment pipeline creation,3,2,4,211,220,7,5,0.32591921680074,3.4735180432417816,0.493670258329646,0.00019444076918323578,0.9398496240601504,0.493670258329646,0.23360583866838566,0.7167599411948982
Sensor or input data fusion,Edge compute hardware,3,2,4,211,220,7,5,0.32591921680074,3.4735180432417816,0.493670258329646,0.00019444076918323578,0.9398496240601504,0.493670258329646,0.23360583866838566,0.7167599411948982
Network partitioning,Early-exit inference,3,1,6,210,220,9,4,0.3296799539643607,3.295836866004329,0.48715283701009704,0.00018796043396010156,0.9285714285714286,0.48715283701009704,0.23336795535157284,0.7078621327907628
Smaller computation datatype,Sparsification,3,7,4,206,220,7,10,0.4275176370043109,2.756840365271642,0.33342913254017786,0.002174713192239232,0.8805970149253731,0.33342913254017786,0.23032253372444006,0.5387439342581265
Input resolution adjustment,Width adjustment,3,13,2,202,220,5,16,0.44914562337133124,2.9509963797125995,0.30963403077526197,0.002917932174784531,0.9006211180124224,0.30963403077526197,0.22965607714071698,0.5113176332809298
