Tactic_A,Tactic_B,a,b,c,d,n,n_series_1,n_series_2,confidence,logRR,phi,p_value,logRR_norm,phi_norm,Score_default,Score_minus_conf
Depth adjustment,Width adjustment,11,4,1,201,217,12,15,0.591158280202196,4.998112769097365,0.80837610081123,1.6538911841364157e-14,0.9865891819400984,0.80837610081123,0.5305542947869619,0.8974826413756642
Width adjustment,Depth adjustment,11,1,4,201,217,15,12,0.591158280202196,3.8497042410288875,0.80837610081123,1.6538911841364157e-14,0.9583152409900131,0.80837610081123,0.5221971076336664,0.8833456709006215
Integer-only operations,Quantization,9,31,2,175,217,11,40,0.7530110789874154,2.991347675236167,0.3777394524152472,4.5349487086825346e-06,0.9043634190077705,0.3777394524152472,0.48271883329155507,0.6410514357115089
Quantization,Integer-only operations,9,2,31,175,217,40,11,0.7530110789874154,1.6932182688422837,0.3777394524152472,4.5349487086825346e-06,0.6892938496583143,0.3777394524152472,0.4017439490549587,0.5335166510367808
Hardware and Software codesign,Quantization,6,34,2,175,217,8,40,0.6965594557490407,2.5858825671280026,0.2854149531049434,0.0005902054823881624,0.8598949211908932,0.2854149531049434,0.398888211351755,0.5726549371479183
Network partitioning,External computational offloading,6,5,3,203,217,9,11,0.4848643207030773,3.623128076551156,0.5840940098502954,2.697341714277975e-07,0.9479905437352246,0.5840940098502954,0.37142656816696024,0.7660422767927599
External computational offloading,Network partitioning,6,3,5,203,217,11,9,0.4848643207030773,3.322635059159053,0.5840940098502954,2.697341714277975e-07,0.9303944315545244,0.5840940098502954,0.36716070467720513,0.7572442207024099
Quantization,Hardware and Software codesign,6,2,34,175,217,40,8,0.6965594557490407,1.5282916548968688,0.2854149531049434,0.0005902054823881624,0.6435124508519005,0.2854149531049434,0.3235265834652742,0.4644637019784219
Network partitioning,Task-level parallelism on CNN layer-level,4,5,5,203,217,9,9,0.4511883639059735,2.9171699510508886,0.4204059829059829,0.0001606053978413239,0.8973774230330672,0.4204059829059829,0.2972842694540407,0.658891702969525
Task-level parallelism on CNN layer-level,Network partitioning,4,5,5,203,217,9,9,0.4511883639059735,2.9171699510508886,0.4204059829059829,0.0001606053978413239,0.8973774230330672,0.4204059829059829,0.2972842694540407,0.658891702969525
Pruning,ADMM-based compression,4,0,19,194,217,23,4,0.4724144270085936,2.4168531865429848,0.3979945645391847,9.854488544254441e-05,0.8362068965517241,0.3979945645391847,0.29152728802721534,0.6171007305454543
